"incident_guid","b_esn","b_name","day","month","start","stop","cam_count","inc_cams","drop_type","duration_sum","avg"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","1003b6f9","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","1003c54b","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","1004fe10","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","10050062","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","10054b3b","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","100567ad","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","1005a08d","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","1005f148","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","10065033","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","10066beb","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","10068811","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","1006b709","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","1006c54a","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","1006eee7","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","1007023d","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","10073196","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","10078026","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","10081e38","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","100950a9","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","10096814","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","10098af5","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","1009b469","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","100a02af","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","100a39ef","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","100a73fe","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","100aac2f","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","100b0f00","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","100b971f","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","100b9e96","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","100cdee1","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","100da1d7","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","100ddc29","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","100e24e7","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","100e2a38","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","100e4b68","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","100e80d8","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","100f4d5f","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","100f591d","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","100f70be","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","100f8bd0","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
